Mean,Std,Training Prevalence Difference,Positive-associated,Data Size,Metric,Subgroup,Task
0.85719697,0.011789678,100,F,100%,predicted prevalence,F,COVID
0.799090909,0.024741837,80,F,100%,predicted prevalence,F,COVID
0.707878788,0.027035833,50,F,100%,predicted prevalence,F,COVID
0.506590909,0.032653844,0,F,100%,predicted prevalence,F,COVID
0.141060606,0.019469537,100,F,100%,predicted prevalence,M,COVID
0.208257576,0.025570988,80,F,100%,predicted prevalence,M,COVID
0.320530303,0.031049826,50,F,100%,predicted prevalence,M,COVID
0.512424242,0.030797536,0,F,100%,predicted prevalence,M,COVID
0.578440657,0.018844106,100,F,100%,AUROC,F,COVID
0.624360652,0.017131701,80,F,100%,AUROC,F,COVID
0.666540404,0.019035371,50,F,100%,AUROC,F,COVID
0.693609963,0.014887414,0,F,100%,AUROC,F,COVID
0.601537534,0.021724965,100,F,100%,AUROC,M,COVID
0.646712006,0.022451871,80,F,100%,AUROC,M,COVID
0.68190714,0.020218353,50,F,100%,AUROC,M,COVID
0.707505739,0.0202698,0,F,100%,AUROC,M,COVID
0.840356692,0.017425309,100,F,75%,predicted prevalence,F,COVID
0.777225379,0.021865614,80,F,75%,predicted prevalence,F,COVID
0.68197601,0.033002671,50,F,75%,predicted prevalence,F,COVID
0.507970328,0.032670504,0,F,75%,predicted prevalence,F,COVID
0.201862374,0.023641556,100,F,75%,predicted prevalence,M,COVID
0.264835859,0.029571976,80,F,75%,predicted prevalence,M,COVID
0.377683081,0.033392591,50,F,75%,predicted prevalence,M,COVID
0.529040404,0.029029064,0,F,75%,predicted prevalence,M,COVID
0.591551165,0.023072108,100,F,75%,AUROC,F,COVID
0.629120873,0.020957447,80,F,75%,AUROC,F,COVID
0.668081741,0.021056719,50,F,75%,AUROC,F,COVID
0.69276453,0.014673608,0,F,75%,AUROC,F,COVID
0.59889855,0.020212918,100,F,75%,AUROC,M,COVID
0.638149966,0.019120417,80,F,75%,AUROC,M,COVID
0.680488,0.02000456,50,F,75%,AUROC,M,COVID
0.712084146,0.021818705,0,F,75%,AUROC,M,COVID
0.81802399,0.027946479,100,F,50%,predicted prevalence,F,COVID
0.748342803,0.036870272,80,F,50%,predicted prevalence,F,COVID
0.661616162,0.036317746,50,F,50%,predicted prevalence,F,COVID
0.519176136,0.035862477,0,F,50%,predicted prevalence,F,COVID
0.275489268,0.029260833,100,F,50%,predicted prevalence,M,COVID
0.322127525,0.021214743,80,F,50%,predicted prevalence,M,COVID
0.410905934,0.027966352,50,F,50%,predicted prevalence,M,COVID
0.529671717,0.040894703,0,F,50%,predicted prevalence,M,COVID
0.608363464,0.027965309,100,F,50%,AUROC,F,COVID
0.640647718,0.022955363,80,F,50%,AUROC,F,COVID
0.665054307,0.020676572,50,F,50%,AUROC,F,COVID
0.68325418,0.021855913,0,F,50%,AUROC,F,COVID
0.605783211,0.022478597,100,F,50%,AUROC,M,COVID
0.635813629,0.017234967,80,F,50%,AUROC,M,COVID
0.672239679,0.018766779,50,F,50%,AUROC,M,COVID
0.698652003,0.019521838,0,F,50%,AUROC,M,COVID
0.962989268,0.021244587,100,F,25%,predicted prevalence,F,COVID
0.928582702,0.048824105,80,F,25%,predicted prevalence,F,COVID
0.904356061,0.059231784,50,F,25%,predicted prevalence,F,COVID
0.709280303,0.100830669,0,F,25%,predicted prevalence,F,COVID
0.788036616,0.055968941,100,F,25%,predicted prevalence,M,COVID
0.753077652,0.073807266,80,F,25%,predicted prevalence,M,COVID
0.80050505,0.082637355,50,F,25%,predicted prevalence,M,COVID
0.728535354,0.088775092,0,F,25%,predicted prevalence,M,COVID
0.614472136,0.031400179,100,F,25%,AUROC,F,COVID
0.628419613,0.035062455,80,F,25%,AUROC,F,COVID
0.643273406,0.032484906,50,F,25%,AUROC,F,COVID
0.655652166,0.022501459,0,F,25%,AUROC,F,COVID
0.628135641,0.026290842,100,F,25%,AUROC,M,COVID
0.640031948,0.023028686,80,F,25%,AUROC,M,COVID
0.653549582,0.019534142,50,F,25%,AUROC,M,COVID
0.662365846,0.021337795,0,F,25%,AUROC,M,COVID
0.836016414,0.162593122,100,F,10%,predicted prevalence,F,COVID
0.72238005,0.202457038,80,F,10%,predicted prevalence,F,COVID
0.734296086,0.212917788,50,F,10%,predicted prevalence,F,COVID
0.70083649,0.197876951,0,F,10%,predicted prevalence,F,COVID
0.714883207,0.206337744,100,F,10%,predicted prevalence,M,COVID
0.606218434,0.229444442,80,F,10%,predicted prevalence,M,COVID
